,Hotel_Names,Staff_Rating,Facilities_Rating,Cleanliness_Rating,Comfort_Rating,Value_For_Money_Rating,Location_Rating,Free_WiFi_Rating,Final_Grade
2307,presidential-two-bedroom-apartment-with-terrace,0,0,0,0,0,0,0,0
2308,urban-oasis-by-machane-yehuda-market,0,0,0,0,0,0,0,2
2309,jerusalem-suites-mamilla,0,0,0,0,0,0,0,0
2310,hgb-h-htsrptyt,0,0,0,0,0,0,0,0
2311,feelhome-magical-david-citadel-village,0,0,0,0,0,0,0,9.7
2312,colony-suites-wedgewood-st,0,0,0,0,0,0,0,0
2313,the-jewel-in-talbyeh-jerusalem,0,0,0,0,0,0,0,0
2314,45-agripas-street,0,0,0,0,0,0,0,0
2315,jerusalem-dreams-yrvshlym,0,0,0,0,0,0,0,0
2316,tsymr-47-dyrh,0,0,0,0,0,0,0,0
2317,urbanic-jerusalem,9.4,9.1,9.4,9.3,9.7,9.5,8.8,9.2
2318,apartment-shirel,0,0,0,0,0,0,0,0
2319,spa-mtkhm-htkhnh,7.7,7,7.6,7.2,7.4,8.2,10,6.9
2320,private-hostel-10deg,6.3,6,6.3,6.3,6.9,7.6,8.8,6
2321,the-heart-of-nachlaot,0,0,0,0,0,0,0,9.6
2322,mlvn-kvrsh,8.8,8,8.7,8.5,8,9.5,10,8.4
2323,shani,0,0,0,0,0,0,0,0
2324,jerusalem-jerusalem,9,8.2,8.4,8.4,8.3,9.5,9.2,8.5
2325,commodore,8.1,7,7.1,7.1,7.2,7.4,5,7.1
2326,spectacular-villa-in-the-center-of-jerusalem-yrvshlym,0,0,0,0,0,0,0,0
2327,apartment-in-the-most-fun-location-in-jerusalem,0,0,0,0,0,0,0,0
2328,ka-pan-view,0,0,0,0,0,0,0,0
2329,kvartira-tani-4-komnaty-s-balkonom-na-15-om-etazhe-polnost-iu-oborudovana,0,0,0,0,0,0,0,0
2330,annie-39-s-boutique-apartment-in-jerusalem,0,0,0,0,0,0,0,0
2331,the-jasper-premium-central-parking-pool-4br,0,0,0,0,0,0,0,0
2332,aju-hamadregot-31-suites,0,0,0,0,0,0,0,0
2333,mamillas-pearl-lincoln-residences-by-rental-israel,0,0,0,0,0,0,0,0
2334,spacious-amp-quiet-luxury-aprtment-in-heart-of-jlm,0,0,0,0,0,0,0,0
2335,fiamingo-ben-yehuda-jerusaiem,0,0,0,0,0,0,0,0
2336,the-haneviim-court-3bdr-jerusalem,0,0,0,0,0,0,0,0
2337,dyrh-tsnv-h-vn-ymh-bbyt-hkrm-byrvshlym,0,0,0,0,0,0,0,0
2338,renovated-and-cozy-3br-at-shalom-aleichem,0,0,0,0,0,0,0,0
2339,la-villa-toscana-pool-amp-elah-valley-vineyard-view,0,0,0,0,0,0,0,0
2340,kotel-yrvshlym,0,0,0,0,0,0,0,0
2341,ramalah-amp-jerusalem-center,0,0,0,0,0,0,0,0
2342,quite-relaxing-jerusalem-mountains-cozy-house,0,0,0,0,0,0,0,0
2343,appartment-in-ben-gamla,0,0,0,0,0,0,0,0
2344,stvdyv-spyr,0,0,0,0,0,0,0,0
2345,lifta-boutique-amp-spa-jerusalem,0,0,0,0,0,0,0,10
2346,mbt-l-hvdy,0,0,0,0,0,0,0,9.3
2347,harova,0,0,0,0,0,0,0,0
2348,beautiful-apartment-in-jerusalem-talbya-rechavia,0,0,0,0,0,0,0,0
2349,a-luxury-panthouse-5br-amp-washrooms-city-center-jerusalem,0,0,0,0,0,0,0,0
2350,mr-lwfr-4,0,0,0,0,0,0,0,0
2351,aju-ben-yehuda-23,0,0,0,0,0,0,0,5
2352,king-david-residences-2-bd-pool-gym-parking,0,0,0,0,0,0,0,0
2353,a-modern-house-in-a-jerusalem-courtyard,0,0,0,0,0,0,0,0
2354,habrekha-12-yemin-moshe-hbrykh-12-ymyn-mshh,0,0,0,0,0,0,0,0
2355,a-unit-in-a-peaceful-area-near-jerusalem,0,0,0,0,0,0,0,9.3
2356,modern-1-bdr-heart-of-jerusalem-balcony-and-view,0,0,0,0,0,0,0,0
2357,d,0,0,0,0,0,0,0,7
2358,lovely-jerusalem-apartment,0,0,0,0,0,0,0,0
2359,khvzt-hmrkz-yrvshlym,0,0,0,0,0,0,0,8.6
2360,albi,0,0,0,0,0,0,0,9.9
2361,tsvr-lnkhl,0,0,0,0,0,0,0,9.6
2362,dyrt-yrvkh-mqsymh-blb-hrvb-hyhvdy,0,0,0,0,0,0,0,0
2363,king-george-suites-dorot,0,0,0,0,0,0,0,0
2364,king-george-suites-yehuda-market-suite,0,0,0,0,0,0,0,0
2365,cosy-studio-in-mamilla-free-parking-up-to-4-ppl,0,0,0,0,0,0,0,0
2366,cohens-apartments-yrvshlym,0,0,0,0,0,0,0,8.7
2367,the-little-jerusalem-in-the-heart-of-jlm,0,0,0,0,0,0,0,9.5
2368,saidoff-tower-suites-the-chestnut-2br-pool-parking,0,0,0,0,0,0,0,0
2369,saidoff-tower-suites,0,0,0,0,0,0,0,0
2370,perla-low-cost-5,0,0,0,0,0,0,0,0
2371,sars-place,0,0,0,0,0,0,0,0
2372,king-david-crown-lovely-3-bdrs-with-balcony,0,0,0,0,0,0,0,0
2373,nvp-hrym-vrh,0,0,0,0,0,0,0,8
2374,byt-byrvshlym-bvyrt-tsymr-yvqrty-mrvvkh-vm-vtsb,0,0,0,0,0,0,0,0
2375,nvp-hrym-vrh,0,0,0,0,0,0,0,8
2376,byt-byrvshlym-bvyrt-tsymr-yvqrty-mrvvkh-vm-vtsb,0,0,0,0,0,0,0,0
2377,luxury-3-br-2-bath-in-the-heart-of-nachlaot,0,0,0,0,0,0,0,0
2378,deluxe-room,0,0,0,0,0,0,0,0
2379,junior-suite-jerusalem,0,0,0,0,0,0,0,0
2380,amalon-2-bedrooms-apartment-deluxe,0,0,0,0,0,0,0,0
2381,amalon-one-bedroom-apartment,0,0,0,0,0,0,0,0
2382,lb-h-yr-yrvshlym,0,0,0,0,0,0,0,0
2383,a-sweet-boutique-apartmentin-nachlaot-nkhlvt,0,0,0,0,0,0,0,0
2384,shalem-stunning-apartment-hosted-by-sweetstay,0,0,0,0,0,0,0,0
2385,dorraines-jerusalem-bed-amp-breakfast,0,0,0,0,0,0,0,8.7
2386,luxury-penthouse-4bdr-with-amazing-view-in-ramat-sharet-bayt-vegan,0,0,0,0,0,0,0,9
2387,yrvkh-bkpr-ldd,0,0,0,0,0,0,0,0
2388,romema-estates,0,0,0,0,0,0,0,0
2389,svvytt-lh-lh-la-ela-suite,0,0,0,0,0,0,0,0
2390,dyrt-qrq-ypypyh-blb-lybh-shl-yrvshlym,0,0,0,0,0,0,0,0
2391,valley-suites,0,0,0,0,0,0,0,10
2392,1-bedroom-apartment-living-with-sofa-bed-balcony,0,0,0,0,0,0,0,10
2393,first-class-downtown,0,0,0,0,0,0,0,8.9
2394,mulberrys-shade-suite,0,0,0,0,0,0,0,9
2395,nvp-h-yr,0,0,0,0,0,0,0,8.4
2396,hilel-14,0,0,0,0,0,0,0,7.3
2397,cozy-fully-equipped-apartment-near-the-old-city-jerusalem,0,0,0,0,0,0,0,8.7
2398,donkeys-amp-sunshine,0,0,0,0,0,0,0,8.6
2399,the-heart-of-jerusalem,0,0,0,0,0,0,0,9.5
2400,sea-u-mahne-yehuda-modern-1-bdr-with-balcony,0,0,0,0,0,0,0,0
2401,sea-u-mahne-yehuda-peacefull-1-bdr-with-balcony,0,0,0,0,0,0,0,0
2402,mahane-yehuda-cosy-1bdr-with-a-big-balcony,9.6,9.6,10,9.8,9.6,9.8,10,9.6
2403,sea-u-mahne-yehuda-stunning-1bdr-w-a-big-balcony,0,0,0,0,0,0,0,10
2404,mahane-yehuda-superb-1bdr-w-balony-new-building,0,0,0,0,0,0,0,0
2405,mahane-yehuda-lovely-one-bdr-with-balcony,0,0,0,0,0,0,0,9.6
2406,sea-u-mahne-yehuda-designed-one-bdr-with-balcony,0,0,0,0,0,0,0,10
2407,mahane-yehuda-charming-one-bedroom-with-balcony,0,0,0,0,0,0,0,10
2408,mahane-yehuda-one-bdr-with-a-huge-terrace,0,0,0,0,0,0,0,0
2409,sea-u-mahane-yehuda-stylish-one-bdr-with-balcony,0,0,0,0,0,0,0,0
2410,best-location-and-family-friendly,0,0,0,0,0,0,0,0
2411,tsymrym-nvp-hrym,0,0,0,0,0,0,0,9.1
2412,adam-homey,0,0,0,0,0,0,0,9.2
2413,3bdr-w-parking-haneviim-boutique-mamilla-area,0,0,0,0,0,0,0,5.5
2414,luxury-haumajerus-apartments-yrvkh-yvqrty-byrvshlym,0,0,0,0,0,0,0,8.5
2415,dn-khdry-bvtyq-mvl-hkhvmvt,9.2,8.6,9.1,8.6,9,9.6,10,8.8
2416,king-george-king-suite,0,0,0,0,0,0,0,0
2417,penthouse-3bedrooms-parking-terrace-in-heart-of-jerusalem,0,0,0,0,0,0,0,0
2418,deluxe-2-bedrooms-garden-parking-city-center,0,0,0,0,0,0,0,10
2419,fantastic-1-bedroom-in-city-center,0,0,0,0,0,0,0,8.7
2420,gorgeous-studio-market-location-stone-house-2,0,0,0,0,0,0,0,0
2421,deluxe-2-bedrooms-apartment-terrace-in-city-center,0,0,0,0,0,0,0,0
2422,luxury-apartment-sunny-balcony-modern-vibe-6,0,0,0,0,0,0,0,0
2423,luxurious-studio-city-vibes-cozy-apt-5,0,0,0,0,0,0,0,0
2424,panoramic-balcony-ben-yehuda-street-view-4,0,0,0,0,0,0,0,0
2425,desert-view,9.4,9,8.9,9.2,9,9.1,9.2,8.9
2426,eretz-zeelim,8.4,7.8,7.8,7.7,7.2,8.1,4.6,7.6
2427,kibbutz-lotan-ecotourism,9.3,8,8.6,8.3,8.4,9,7.8,8.3
2428,desert-iris,8.3,7.6,7.6,8.1,7.4,8.3,7.3,7.7
2429,amazing-bedouin-hospitality,9.8,8.9,9.2,9,9.3,8.6,9.1,9.2
2430,desertb,9.5,9.2,9.6,9.4,9,8.9,10,9.2
2431,kibbutz-hatzor-a-room-close-to-ashdod,9.5,8.8,9.2,9.2,9.3,9,10,9.1
2432,stlbt-bmdbr,9.8,9.5,9.6,9.6,9.4,9.3,9.4,9.2
2433,art-house,9.4,9.4,9.7,9.7,9.6,9.5,8.8,9.4
2434,pntzyh-bmdbr,9.8,8.6,9.2,8.9,9.1,9.3,7.5,9
2435,motel-sunset,8.5,7.6,8,7.9,8.4,8,8,7.9
2436,desert-gat,9.2,8.6,9.1,9,8.7,8.8,9.6,8.8
2437,shamballa-ezuz,8.5,7.1,7.3,7.9,6.7,8.9,5,7.5
2438,golden-tulip-negev,8.2,7.3,7.6,7.8,7,8.2,7.9,7.4
2439,chalet-margo,9.4,8.4,9.5,8.8,8.7,9,7.5,8.6
2440,xxxx-xc-x-xx,8.5,6.6,7.6,7.6,7.1,8.3,7.5,7.2
2441,palms-hotel-eilat,8.8,8.1,8.4,8.4,8.2,7.8,8.1,8.2
2442,motel-aviv,8.7,7.2,7.9,7.5,7.9,7.6,7.8,7.4
2443,astral-seaside,8.4,7.8,8.1,8.2,7.8,9.3,7,7.9
2444,sapir,8.2,7.3,8.3,7.6,7.6,8,7,7.5
2445,comfort-hotel-eilat,7.8,6.9,7.2,7.2,7.5,7.3,7.8,7.1
2446,arava-hostel,9.1,8.1,8.6,8.1,8.7,8.5,8.2,8.3
2447,khvzt-nylbyts-39,8.5,7.8,8.4,8.2,8,8.8,9.8,8.2
2448,americana-eilat,8.1,7,7.3,7.5,7.6,8.6,7.1,7.3
2449,boutique-by-tzokim,9.3,8,8.7,8.5,7.8,8.3,8.9,8.1
2450,boutique-by-tzokim,9.3,8,8.7,8.5,7.8,8.3,8.9,8.1
2451,astral-topaz,8.7,7.8,8.3,8.3,8.1,7.6,8.4,8
2452,nova,8.2,7.1,7.5,7.6,7.5,7.1,8.1,7.3
2453,caesar-premier-eilat,8.8,7.9,8.4,8.3,8.1,9.2,6.9,8.1
2454,exodus-hostel-amp-dive-center-eilat1,9,8.8,9.2,9,9.2,8.2,9,8.8
2455,abraham-hostel-eilat-eilat1,9.3,8.8,8.8,8.7,8.9,8.4,10,8.6
2456,rich-classic-suets,7.9,6.7,6.9,7,7.5,6.9,6.3,6.9
2457,soleil-boutique,8.6,7.5,7.9,8,8,9.2,8.2,7.8
2458,the-beatles-amp-hostel,8.4,7.1,7.4,7,7.6,8.2,7.8,6.9
2459,mr-soof-by-tlv2go,8.7,9.2,9.5,9.3,9,8.4,8.6,9
2460,ibex,9.6,8.3,9.2,8.7,8.9,8.3,10,8.6
2461,palma-diving-sea-view,8.2,7.8,7.9,7.7,8.1,8.7,7.5,7.8
2462,royal-shangrila,8.6,8,8.1,8,7.8,8.3,10,8.1
2463,the-green-guesthouse,9.6,8.9,9.6,9.2,8.7,9.4,9.3,9.1
2464,leonardo-ashkelon,8.1,7,7.3,7.5,6.8,8.7,8.7,7.2
2465,astral-nirvana,8.6,7.4,7.5,7.5,7.5,7.3,7.8,7.3
2466,khdr-mshlk-shlym,9.4,8.4,8.9,9,8.7,8.4,10,8.9
2467,classic-inn,7.6,7,7.5,7.4,7.6,7.6,7.5,7.3
2468,guest-house-custo,8.3,7.7,8.3,8.1,8.3,8.1,8.7,7.9
2469,orchid-reef,9.2,8.5,8.9,9,8.5,9,8.2,8.8
2470,city-resort,7.9,8.2,7.6,8.3,8.3,8.9,8.8,8
2471,kibbutz-eilot,8.9,8.2,8.8,8.5,8.5,9,6.7,8.4
2472,prima-music-eilat,8.5,7.5,8,7.8,7.9,8.2,8.1,7.8
2473,golden-tulip-privilege,8.5,8.1,7.9,8.1,8.1,8.8,7.6,8.1
2474,orchid-resort-eilat,8.5,8,7.8,7.9,7.8,8.2,9.4,7.9
2475,pntzyh-bmdbr,9.8,8.6,9.2,8.9,9.1,9.3,7.5,9
2476,idan-acher,9.4,9,9.2,9.2,9,8.8,8.8,9.1
2477,motel-sunset,8.5,7.6,8,7.9,8.4,8,8,7.9
2478,be-hotel-eilat,8.2,7,7.3,7.4,7.6,7.3,8.7,6.9
2479,isrotel-sport-club,9,8.5,8.5,8.7,8.3,9.2,9.2,8.4
2480,dan-panorama-eilat,9,8.4,8.8,8.8,8.4,9,8.5,8.5
2481,the-rosen-39-s-place,9.6,8.7,9.5,9,9.3,8.3,6.5,9
2482,isrotel-agamim,9.1,8.9,9,8.9,8.6,8.4,9.1,8.7
2483,desert-gat,9.2,8.6,9.1,9,8.7,8.8,9.6,8.8
2484,little-prince-hostel,9.1,7.9,8.4,8.1,8.5,9.3,8.6,8.2
2485,house-of-the-rising-sun-nvt-hkykr,9.4,8,8.6,8,8.4,8,9.6,8.2
2486,silent-arrow,0,0,0,0,0,0,0,8.2
2487,rimonim-eilat,8.9,8.4,8.6,8.7,8.3,9.6,8.1,8.5
2488,club-inn-eilat,9,7.9,8.1,8.2,8.6,8,6.7,8.2
2489,isrotel-lagoona-all-inclusive,9.2,8.6,8.9,8.9,8.6,9.4,8.9,8.7
2490,shamballa-ezuz,8.5,7.1,7.3,7.9,6.7,8.9,5,7.5
2491,pnynt-hdql,9.7,9.7,9.9,9.6,9.7,9.3,10,9.2
2492,golden-tulip-negev,8.2,7.3,7.6,7.8,7,8.2,7.9,7.4
2493,clubhotel-eilat,8.7,8.5,8.4,8.5,8.4,9.1,7.6,8.3
2494,vista,0,0,0,0,0,0,0,8.4
2495,west-ashdod-botique,8.6,8,8.7,8.8,7.8,9.2,8.6,8.3
2496,pegasus-eilat,5.9,5.3,5.4,5.3,5.4,6.8,5,4.9
2497,rimonim-central-park,6.8,6.1,6.3,6.4,6.3,7.2,7.4,6
2498,micelle-s-apartment,9.9,9.6,9.8,9.8,9.7,9.7,10,9.7
2499,chalet-margo,9.4,8.4,9.5,8.8,8.7,9,7.5,8.6
2500,herods-boutique,8.7,8.2,8.5,8.7,8,8.9,8.1,8.4
2501,nice-place-eilat,7.8,6.4,6.8,7,7.6,8.7,4.6,6.9
2502,dead-sea-yehuda-apartments,0,0,0,0,0,0,0,8.9
2503,la-palmora-suites,8.5,7.9,7.3,7.9,7.5,9.1,7.9,7.8
2504,beer-sheva-old-town-apartments-by-master,9.3,9.3,9.3,9.4,9,9.2,7.5,9.2
2505,apartment-ground-5-minutes-walk-from-the-sea,9.1,8.7,8.8,8.6,8.5,8.6,10,8.5
2506,ashkelon-ap-ashkelon,9.4,8.8,9.3,9.2,9,8.8,9.6,8.9
2507,pina-bamidbar,0,0,0,0,0,0,0,9.3
2508,new-appt-in-nice-residence-eilat,8.8,8.5,8.8,8.8,8.1,8.8,8.8,8.8
2509,sea-view-coral-suite,9.8,9.7,9.6,9.7,9.2,8.7,9.5,9.5
2510,the-view,9.4,8.6,9.2,8.7,8.9,8.1,10,8.7
2511,boutique-suite-tal,9.9,9.7,9.9,9.8,9.6,8.7,10,9.6
2512,oasis-spa-club-dead-sea-hotel,8,7.7,7.8,7.9,7.1,8.6,7.4,7.6
2513,luxury-yachts-in-eilat,9.9,9.5,9.6,9.5,9.4,9.3,8.8,9.4
2514,dyrvt-hry-dvm,9.1,8.8,9,9,8.9,8.3,8.8,8.9
2515,lev-eilat-apartments-4,9,7.7,7.9,7.9,8.4,8.7,8.8,8.1
2516,lbnh-bmdbr,9.2,8.9,9.2,9.1,8.1,8.6,10,8.9
2517,shoham,9.8,9.1,9.7,9.3,9.6,9,10,9.3
2518,sweethome26-eillat-apt-with-jaccuzzi,9.5,9.2,8.9,9.4,9.1,9.5,9.4,9.2
2519,caravan-in-the-desert,0,0,0,0,0,0,0,9.3
2520,mors-place,8.4,7.5,7.7,7.7,7.9,7.7,6.5,7.5
2521,stylish-apartment-with-a-patio-close-to-the-beach,9.6,9.2,9.1,9.5,9.4,8.9,10,9
2522,hbyt-hprty,8.8,8.7,8.3,8.5,8.4,8.2,10,8.5
2523,zrykht-hmdbr,8.8,8.3,8.6,8.5,8.1,8.3,7.1,8.3
2524,liuks-milany-v-la-palmeraie,9.5,9.8,9.8,9.6,9.4,9.7,10,9.5
2525,orens-place,9.8,9.4,9.6,9.1,9.5,8.7,10,9.4
2526,thaivillaeliat,9.9,9.5,9.6,9.5,9.5,9,9.7,9.6
2527,holiday-apartments-eilat,9.7,9.3,9.2,9.5,9.3,9.4,8.8,9.5
2528,sweet-apartment-with-balcony-in-luxury-complex,8.1,8.4,8.6,8.8,8.7,9.5,8.5,8.5
2529,daimond-loft-on-the-sea-2-min-to-the-beach,6.4,6.1,6.8,6.8,5.7,6.4,10,5.6
2530,new-the-luxe-suite-in-arad,0,0,0,0,0,0,0,9.7
2531,stunning-3bdr-apt-prime-location-change-listing-preview-listing,0,0,0,0,0,0,0,8.9
2532,amazing-duplex-4br-private-pool-with-gorgeous-sea-view,9.5,8.8,9.3,9.2,9,8.8,10,9.3
2533,shohamseaview,9.9,9.8,9.8,9.9,9.6,9.6,10,9.8
2534,mitzpush-premium-villa,9.8,9.4,9.8,9.9,8.7,9.3,10,9.5
2535,cozy-home-suite-eilat,0,0,0,0,0,0,0,8
2536,dy-bmdbr,9.7,9.2,9.3,9.2,9.1,9.6,10,9.2
2537,avshalom-holiday-apartments,0,0,0,0,0,0,0,8.1
2538,veronique-39-s-house,0,0,0,0,0,0,0,9.3
2539,rom-hatayelet,0,0,0,0,0,0,0,7.8
2540,a-beautiful-flat-in-the-of-beer-sheva,0,0,0,0,0,0,0,9.3
2541,privte-pool-3bdr-sea-view,9.2,8.5,8.6,8.8,8.7,8.8,9.4,8.7
2542,moab-palaces-rmvnvt-mvb,0,0,0,0,0,0,0,7.6
2543,luxury-penthouse-with-fabulous-sea-view,0,0,0,0,0,0,0,10
2544,amdar-casa,9.1,8.7,8.5,8.6,8.4,8.8,10,8.6
2545,luxury-home-4br-with-private-pool-amp-jacuzzi-sea-view,9.5,9,9.3,9.4,9,9.4,10,9.1
2546,morning-star-retreat,0,0,0,0,0,0,0,10
2547,gorgeous-4br-apartment-amdar-amazing-pool-yalarent,9.9,9.1,9.8,9.7,9.4,9.8,10,9.2
2548,sweethome,0,0,0,0,0,0,0,8.7
2549,eilat-art-house,9.3,8.8,9,9.2,9.1,8.7,10,9
2550,mitzpush-premium-villa,9.8,9.4,9.8,9.9,8.7,9.3,10,9.5
2551,cozy-home-suite-eilat,0,0,0,0,0,0,0,8
2552,dy-bmdbr,9.7,9.2,9.3,9.2,9.1,9.6,10,9.2
2553,avshalom-holiday-apartments,0,0,0,0,0,0,0,8.1
2554,veronique-39-s-house,0,0,0,0,0,0,0,9.3
2555,rom-hatayelet,0,0,0,0,0,0,0,7.8
2556,a-beautiful-flat-in-the-of-beer-sheva,0,0,0,0,0,0,0,9.3
2557,privte-pool-3bdr-sea-view,9.2,8.5,8.6,8.8,8.7,8.8,9.4,8.7
2558,moab-palaces-rmvnvt-mvb,0,0,0,0,0,0,0,7.6
2559,luxury-penthouse-with-fabulous-sea-view,0,0,0,0,0,0,0,10
2560,amdar-casa,9.1,8.7,8.5,8.6,8.4,8.8,10,8.6
2561,luxury-home-4br-with-private-pool-amp-jacuzzi-sea-view,9.5,9,9.3,9.4,9,9.4,10,9.1
2562,vastu-dead-sea-apartment,9.5,8.9,9.4,9,8,8.7,10,8.7
2563,morning-star-retreat,0,0,0,0,0,0,0,10
2564,gorgeous-4br-apartment-amdar-amazing-pool-yalarent,9.9,9.1,9.8,9.7,9.4,9.8,10,9.2
2565,sweethome,0,0,0,0,0,0,0,8.7
2566,eilat-art-house,9.3,8.8,9,9.2,9.1,8.7,10,9
2567,villa-green-garden,0,0,0,0,0,0,0,9.6
2568,rose-village-tsymr-m-brykh-prtyt,0,0,0,0,0,0,0,10
2569,sweet-home-rd,0,0,0,0,0,0,0,7.8
2570,amazing-penthouse-private-pool-amp-jacuzzi,0,0,0,0,0,0,0,9.8
2571,luxury-villa-shaked,10,10,10,10,10,9.5,10,10
2572,the-white-hill-guesthouse,9.6,9,9.5,9.1,9.3,9.2,9.1,9.3
2573,ella-sun-eilat,0,0,0,0,0,0,0,9.3
2574,hmqvm-shl-dvd-david-place,8.7,7.3,9.2,8.8,8.3,8.8,8.8,8.6
2575,the-private-house-5-hbyt-hprty-rsht-dyrvt-bvtyq-beer-sheva,0,0,0,0,0,0,0,7.5
2576,svvytt-tslyl,9.5,9.3,9.7,9.5,9.5,9,10,9.2
2577,byt-hrkhh-qybvts-qtvrh,9.4,9,9.1,9,9.2,9.1,7.1,9
2578,shkedi-s-camplodge,9.8,9.3,9.4,9.4,9.3,9.2,10,9.4
2579,negev-ecolodge,9.2,9.1,9.1,9.2,8.9,9.5,8.8,9.2
2580,eilat-youth-hostel,8.9,8.3,8.5,8.4,8.7,9.5,7.2,8.5
2581,luxury-villa-6br-with-private-pool-yalarent,0,0,0,0,0,0,0,9.6
2582,boker-valley-vineyards-farm,9.5,9.3,9.6,9.6,8.9,9.6,8.3,9.3
2583,butique-appartment-amp-spa,9.7,9.2,9.8,9.6,9.2,9.5,10,9.3
2584,lillian-apartments-in-eilat,0,0,0,0,0,0,0,9.4
2585,dead-sea-dawn,9.8,9.3,9.6,9.4,9,8.4,9.4,9.1
2586,arad-youth-hostel,9,8,8.8,8.3,8.4,8.6,7.5,8.3
2587,neptun-dive-resort,0,0,0,0,0,0,0,9
2588,desert-glory,8.1,9,9.2,9.6,8.1,8.3,10,8.7
2589,willow-tsymr-b-rbh,9.4,8,8.8,8.1,8.2,8.6,9.2,8.3
2590,corrin-hostel,8.2,7,7.8,7.2,7.9,8.2,5.8,7.3
2591,krivine-guesthouse,9.8,9.2,9.3,9.3,9,9.7,6.7,9.2
2592,desert-rouge,0,0,0,0,0,0,0,9.2
2593,biankini-in-siesta,7.1,6.2,5.9,6.4,5.9,7.7,6.1,6.2
2594,six-senses-shaharut,9.4,9.6,9.8,9.8,8.3,9.4,8.3,9.3
2595,villa-miami,0,0,0,0,0,0,0,8
2596,isrotel-riviera-club,8.5,7.9,7.9,8,8.5,9.3,8.2,8.1
2597,selina-ramon-glamping,9,8.7,9.1,9.1,8,9.2,6.2,8.7
2598,byn-mktsh-lgm,9.9,9.2,9.6,9.7,9.5,9.8,10,9.3
2599,vip-golf-residence-eilat,0,0,0,0,0,0,0,8.1
2600,isrotel-riviera-club,8.5,7.9,7.9,8,8.5,9.3,8.2,8.1
2601,selina-ramon-glamping,9,8.7,9.1,9.1,8,9.2,6.2,8.7
2602,byn-mktsh-lgm,9.9,9.2,9.6,9.7,9.5,9.8,10,9.3
2603,vip-golf-residence-eilat,0,0,0,0,0,0,0,8.1
2604,quiet-place-br-vrh,9.2,8.4,9.2,8.4,9,8.8,8.9,8.6
2605,arava-land,0,0,0,0,0,0,0,9.6
2606,hadass-desert-inn,9,8.5,8.9,8.7,8.9,8.3,8.2,8.7
2607,nvp-brshyt,9.8,9.7,9.9,9.9,9.4,10,10,9.8
2608,tsl-tqvvh-bmvshb-yn-yhb,9.9,9.1,9.5,9.5,9.4,9.2,10,9.2
2609,lev-bamidbar,0,0,0,0,0,0,0,9
2610,mn-hmdbr,9.4,8.7,9.2,9,8.6,9.4,7.5,8.9
2611,zohar-badeshe-ein-habesor-mvshb-yn-hbshvr,0,0,0,0,0,0,0,9.4
2612,rich-luxury-suites-x-xxxxxxa-xxxssx-x,7.3,6.2,6.2,6.5,7,7.3,6.7,6.2
2613,adi,7.9,6.9,7.2,7.5,8.1,8.8,6.7,7.4
2614,dream-island-spa-amp-health-resort,9,9,8.9,9.1,7.9,8.9,8.6,8.7
2615,ataria-39-s-place,9.2,9.5,9.8,9.2,9.5,8.8,10,8.8
2616,zmn-rbh,9.9,9.8,9.9,9.9,9.6,9.8,7.9,9.7
2617,rio,7.6,6.6,6.7,6.8,7.6,7.9,7.9,6.6
2618,perfect-villa,0,0,0,0,0,0,0,9.7
2619,idan-acher,9.4,9,9.2,9.2,9,8.8,8.8,9.1
2620,be-hotel-eilat,8.2,7,7.3,7.4,7.6,7.3,8.7,6.9
2621,isrotel-sport-club,9,8.5,8.5,8.7,8.3,9.2,9.2,8.4
2622,dan-panorama-eilat,9,8.4,8.8,8.8,8.4,9,8.5,8.5
2623,the-rosen-39-s-place,9.6,8.7,9.5,9,9.3,8.3,6.5,9
2624,isrotel-agamim,9.1,8.9,9,8.9,8.6,8.4,9.1,8.7
2625,zohar-badeshe-ein-habesor-mvshb-yn-hbshvr,0,0,0,0,0,0,0,9.4
2626,rich-luxury-suites-x-xxxxxxa-xxxssx-x,7.3,6.2,6.2,6.5,7,7.3,6.7,6.2
2627,adi,7.9,6.9,7.2,7.5,8.1,8.8,6.7,7.4
2628,dream-island-spa-amp-health-resort,9,9,8.9,9.1,7.9,8.9,8.6,8.7
2629,ataria-39-s-place,9.2,9.5,9.8,9.2,9.5,8.8,10,8.8
2630,zmn-rbh,9.9,9.8,9.9,9.9,9.6,9.8,7.9,9.7
2631,rio,7.6,6.6,6.7,6.8,7.6,7.9,7.9,6.6
2632,perfect-villa,0,0,0,0,0,0,0,9.7
2633,idan-acher,9.4,9,9.2,9.2,9,8.8,8.8,9.1
2634,be-hotel-eilat,8.2,7,7.3,7.4,7.6,7.3,8.7,6.9
2635,isrotel-sport-club,9,8.5,8.5,8.7,8.3,9.2,9.2,8.4
2636,dan-panorama-eilat,9,8.4,8.8,8.8,8.4,9,8.5,8.5
2637,the-rosen-39-s-place,9.6,8.7,9.5,9,9.3,8.3,6.5,9
2638,isrotel-agamim,9.1,8.9,9,8.9,8.6,8.4,9.1,8.7
2639,little-prince-hostel,9.1,7.9,8.4,8.1,8.5,9.3,8.6,8.2
2640,house-of-the-rising-sun-nvt-hkykr,9.4,8,8.6,8,8.4,8,9.6,8.2
2641,silent-arrow,0,0,0,0,0,0,0,8.2
2642,rimonim-eilat,8.9,8.4,8.6,8.7,8.3,9.6,8.1,8.5
2643,club-inn-eilat,9,7.9,8.1,8.2,8.6,8,6.7,8.2
